Ref,Val,Package,PosX,PosY,Rot,Side
"C701","1u","C_0603_1608Metric",39.7300,-75.5250,0.0000,top
"C702","1u","C_0603_1608Metric",21.4000,-77.2250,180.0000,bottom
"C703","100n","C_0603_1608Metric",33.0050,-80.1250,-90.0000,top
"C801","4u7","C_0603_1608Metric",46.8750,-68.2000,180.0000,top
"C802","1u","C_0603_1608Metric",42.4750,-27.5000,-90.0000,bottom
"C803","1u","C_0603_1608Metric",72.2625,-27.5250,180.0000,bottom
"C804","1u","C_0603_1608Metric",69.1000,-29.8500,-90.0000,bottom
"C805","1u","C_0603_1608Metric",44.7250,-30.9250,0.0000,bottom
"C806","10u","C_0603_1608Metric",46.8250,-63.6500,180.0000,top
"C807","1u","C_0603_1608Metric",65.9000,-53.3000,0.0000,top
"C808","1u","C_0603_1608Metric",70.6000,-58.3000,0.0000,top
"C809","1u","C_0603_1608Metric",51.3750,-46.6250,90.0000,top
"C810","1u","C_0603_1608Metric",61.2000,-51.0000,90.0000,top
"C811","1u","C_0603_1608Metric",65.9000,-55.8000,90.0000,top
"C812","1u","C_0603_1608Metric",48.8000,-51.6250,180.0000,top
"C901","1u","C_0603_1608Metric",46.4000,-10.5250,-90.0000,top
"C902","100n","C_0603_1608Metric",46.4000,-7.5250,90.0000,top
"C1001","100n","C_0603_1608Metric",61.7000,-54.8250,-90.0000,top
"C1002","100n","C_0603_1608Metric",48.8000,-53.1750,180.0000,top
"C1003","10n","C_0603_1608Metric",62.9000,-63.1000,90.0000,top
"C1004","100n","C_0603_1608Metric",59.7000,-49.8250,90.0000,top
"C1101","100n","C_0603_1608Metric",80.1000,-55.0250,180.0000,top
"C1102","100n","C_0603_1608Metric",79.2000,-51.1250,-90.0000,top
"C1103","100n","C_0603_1608Metric",103.8875,-74.0750,-90.0000,top
"C1104","100n","C_0603_1608Metric",43.7750,-34.0250,180.0000,top
"C1105","100n","C_0603_1608Metric",61.1000,-69.4250,0.0000,top
"C1201","10n","C_0603_1608Metric",68.6750,-24.1500,0.0000,bottom
"D1101","FLASH","XP-G",41.9000,-44.4250,180.0000,bottom
